id,x,y,serving id,serving Rx,neighbor id,neighbor Rx
202,87.0884439185,8.62097080932,3,-97.9725860236,4,-98.1907703285
203,24.6348039122,12.3332001668,0,-81.0345567204,1,-105.331605871
204,23.8602147084,3.45313753924,0,-96.7766348427,1,-106.278821339
205,38.9373540336,18.262299675,1,-99.5794693518,0,-101.319049208
206,41.7625050211,25.9248936689,1,-99.5925739851,0,-103.817081545
207,48.249615984,15.6102198078,1,-91.1554365115,2,-103.510120871
208,53.5117434555,17.3345842495,1,-86.6871254706,2,-101.744315128
209,3.33458922084,20.3179283177,0,-103.930305827,1,-109.473308879
210,18.9653228164,1.79841622836,0,-98.9786237819,1,-107.393342869
211,76.730488319,1.9537367922,3,-90.3339040323,2,-99.2586800937
212,53.7227117498,23.8051301597,1,-94.5051989696,2,-102.989525144
213,87.895537705,2.68591168998,3,-98.4189655613,4,-101.475531422
214,62.1212273879,3.35179345152,2,-98.3533965849,3,-101.188754925
215,52.9659285286,11.8028705937,1,-94.5988695348,2,-101.483782611
216,4.08731499299,11.9103553766,0,-103.127550161,1,-109.408326872
217,35.1582740162,2.29526696884,0,-100.657155773,1,-103.919721355
218,52.0214381576,23.5465868551,1,-93.692259796,2,-103.417521839
219,75.2011433282,6.5001770528,3,-88.0629517628,2,-95.9887105444
220,65.0662335579,23.0522076538,2,-99.572215908,1,-100.681351317
221,84.6029579518,16.7251490328,4,-86.6867876295,3,-100.044207862
222,56.487788624,2.41804678234,2,-101.130725077,1,-101.54075449
223,93.0942992258,21.9582576214,5,-96.9016781475,4,-98.5345310872
224,103.200394334,3.71293623579,5,-101.168893989,4,-104.615635277
225,40.9105652955,24.4667805536,1,-99.5013232777,0,-103.281629172
226,19.703130797,4.96784398326,0,-96.6770353857,1,-106.981251322
227,86.5792985647,13.9264447289,4,-93.6023658148,3,-99.5162728452
228,26.5829027119,23.0512712064,0,-98.8256382885,1,-104.769833705
229,69.9061974698,10.9156238373,2,-81.0345567204,3,-97.5081284467
230,73.3579463188,15.5683318907,2,-94.202697925,4,-97.8761184992
231,3.50478490138,12.2310712406,0,-103.335804534,1,-109.490681729
232,93.6309832179,18.9463112417,5,-95.9984367298,4,-98.4424582882
233,80.2223507937,25.3148539436,4,-96.017167044,2,-102.202483086
234,27.6388344637,22.1807880558,0,-98.4390335638,1,-104.414171972
235,90.1600285457,3.18421806871,3,-99.740226861,4,-101.645135424
236,71.4978719847,5.27904613069,3,-94.2685408368,2,-94.6636728169
237,72.8038092653,11.1846503931,2,-90.4956539344,3,-95.8119238822
238,53.8376544916,10.8104710937,1,-95.8666485389,2,-101.076706723
239,68.1297067795,23.1539390143,2,-99.2437529272,4,-101.22261059
240,92.4387630903,18.9969749025,5,-97.0563775705,4,-97.5834826558
241,87.0003561512,10.1280829455,4,-97.1235774144,3,-98.3286995666
242,25.1122281365,21.7993003161,0,-97.822721137,1,-105.11817596
243,4.71730473237,13.4940330806,0,-102.917762221,1,-109.283977696
244,90.7670371599,4.44930766299,3,-99.9925492757,4,-101.265040635
245,75.9337544058,11.2961509098,3,-94.3226236329,2,-95.0594974408
246,75.8548964461,25.1958609547,4,-97.9520937288,2,-101.134961902
247,24.5829423569,3.86305383255,0,-96.403846859,1,-106.08062537
248,71.2803720396,1.64224934531,3,-95.6494946849,2,-97.8107965892
249,7.50479449417,24.5798866838,0,-103.40063297,1,-108.881305283
250,53.9630518365,19.7771541885,1,-89.3407947709,2,-102.01685268
251,63.1033353978,3.50148706199,2,-97.8174047673,3,-100.705247786
252,55.2005400951,8.96865702264,1,-97.7482039593,2,-100.486990792
253,65.4340572393,2.59489314505,2,-97.5008609487,3,-99.5441298767
254,53.3559730876,10.3594573625,1,-96.150998246,2,-101.312228676
255,102.719448137,5.11620752097,5,-100.450874971,4,-104.255699034
256,40.575272489,2.1506423479,0,-102.62470602,1,-102.71894385
257,60.286509004,19.0366973477,1,-97.083461072,2,-99.1610632824
258,102.823358997,25.8054422152,5,-95.1469620746,4,-103.488769215
259,57.6128425225,14.5472555908,1,-95.3700793504,2,-99.2873486472
260,73.9677142403,10.7054568088,2,-92.5829418189,3,-94.6662132058
261,0.776083128047,4.98531156676,0,-104.545850636,1,-110.078105549
262,40.3763762441,10.1150564274,1,-100.175733738,0,-101.433318746
263,10.2650103301,19.2693572462,0,-101.330934106,1,-108.326606444
264,21.4044055051,16.528561421,0,-93.4600132268,1,-106.016467299
265,45.7660503229,0.346694252368,1,-102.454599786,0,-104.465499397
266,58.92138305,10.9020566391,2,-98.122530376,1,-98.1407892902
267,12.1705528792,24.4564170247,0,-102.023378232,1,-108.07407754
268,51.8257282935,16.13903083,1,-85.61302026,2,-102.259171521
269,46.1589026267,6.38569906719,1,-99.7062443418,0,-103.882634406
270,14.6196992934,18.6797470523,0,-99.1724390859,1,-107.50400679
271,12.8479571392,14.9764139603,0,-99.2190488712,1,-107.869459949
272,84.2698188405,17.2628248354,4,-84.354254406,3,-100.203535628
273,85.8538553547,2.31950614186,3,-97.0332006126,4,-101.410647022
274,65.3252234969,3.43247005486,2,-96.922002909,3,-99.5119755159
275,48.0386719618,9.71102721068,1,-97.1043862969,2,-103.446884751
276,53.6289246563,1.5771005585,1,-101.624983089,2,-102.373237807
277,82.8610887021,8.7246350869,3,-94.4858075471,4,-97.4708526096
278,12.8076002102,14.5248300656,0,-99.1781709917,1,-107.88417339
279,59.1467652964,8.88629344966,2,-98.1531805765,1,-99.2147417153
280,14.9272224902,18.7512783757,0,-99.0406472682,1,-107.442777527
281,55.0001403372,3.37894833827,1,-100.917245037,2,-101.480850181
282,83.0258875467,8.02625038046,3,-94.2554717425,4,-97.9974495111
283,94.7101682038,5.20981765111,5,-101.108427236,3,-101.89202543
284,88.2514129573,9.70379857564,4,-97.8915396287,3,-98.9723566478
285,68.6294808734,11.0878491104,2,-81.0345567204,3,-98.3551629446
286,46.3358952564,12.5377230058,1,-95.7790762531,0,-103.710157509
287,6.71344104854,12.0828973557,0,-102.110307926,1,-108.993030801
288,76.8927392562,22.2977366812,4,-95.6851213344,2,-100.125747957
289,57.168955393,6.99389114702,1,-99.4985411605,2,-99.7102565245
290,45.3762700052,12.6271437927,1,-96.3731016205,0,-103.383312814
291,61.1831885878,22.4644763023,1,-98.4490209543,2,-100.284241611
292,23.7976267568,16.6670303944,0,-92.4314631398,1,-105.406864034
